Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
1262483094306795524,"Salió la Vice Ministra de Salud en @canalN_ diciendo que la prohibición era obligatoria.
No se que jerarquía normativa tiene las “declaraciones de funcionario público” en la pirámide de Kelsen, pero le paso el dato. https://t.co/vuVy0YHA1P",Rosa María Palacios,rmapalacios,2020-05-18T20:40:00.000Z,Mon May 18 20:40:00 +0000 2020,48,7,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,1
1262482381379907596,art https://t.co/gWzF42azFC,Rosa María Palacios,rmapalacios,2020-05-18T20:37:10.000Z,Mon May 18 20:37:10 +0000 2020,13,3,und,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,0
1262481558214193154,¿Usted de verdad cree que la cuarentena termina el próximo lunes? Que ternura. https://t.co/YiJrmpvfXg,Rosa María Palacios,rmapalacios,2020-05-18T20:33:53.000Z,Mon May 18 20:33:53 +0000 2020,343,30,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,0
1262481137127088128,No se queje. Ahorita sale la norma que prohíbe quejarse por andar quejándose. https://t.co/OpxA4kAHrz,Rosa María Palacios,rmapalacios,2020-05-18T20:32:13.000Z,Mon May 18 20:32:13 +0000 2020,69,8,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,0
1262480049040752645,Que tristeza 😢 https://t.co/M3KC09hDl0,Rosa María Palacios,rmapalacios,2020-05-18T20:27:54.000Z,Mon May 18 20:27:54 +0000 2020,328,76,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,Photo,https://pbs.twimg.com/media/EYU65h_WoAUGJ6s.jpg ,0,0,0
1262478022747267080,Programa de hoy https://t.co/Qpo1bQxqih,Rosa María Palacios,rmapalacios,2020-05-18T20:19:50.000Z,Mon May 18 20:19:50 +0000 2020,20,4,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,0
1262477599948918784,Ojo. No automedicarse. Cada paciente tiene una historia médica. No todos pueden tomar lo mismo. Hay que consultar a un médico aunque sea por teléfono. https://t.co/91P691f3eZ,Rosa María Palacios,rmapalacios,2020-05-18T20:18:10.000Z,Mon May 18 20:18:10 +0000 2020,85,12,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,0
1262475713015316481,Tras https://t.co/pph4kX6MKE,Rosa María Palacios,rmapalacios,2020-05-18T20:10:40.000Z,Mon May 18 20:10:40 +0000 2020,27,6,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,0
1262475106678460416,"RT @ALymphsLife : 🤬¡La #ciencia nos engaña! ¡Los #científicos se contradicen, no tienen ni idea!
👆Cosas así o peores se están empezando a oir a raíz de la crisis de la #covid19. Abro #hiloilustrado para aclarar un poco cómo avanza la ciencia. Hay 🍺Cerveza y Vacas🐮 👇👇 https://t.co/2N4Nfc6Yft",Rosa María Palacios,rmapalacios,2020-05-18T20:08:15.000Z,Mon May 18 20:08:15 +0000 2020,0,0,es,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Retweet,Photo,https://pbs.twimg.com/media/EYSDV4iX0AIfenB.jpg ,0,4,0
1262473914409779200,Te https://t.co/Y9eOHN02Vb,Rosa María Palacios,rmapalacios,2020-05-18T20:03:31.000Z,Mon May 18 20:03:31 +0000 2020,10,3,und,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,,,1,0,0
